id,name,Current_Role,Previous_Work_Experience,Education,Area_of_practice,Years_of_experience,Past_cases,About ,img,price_range,category
1,Dominic Stevenson,Partner at Slug LLP (2009-Present),Associate at Ginger Bear Partnership (2004-2008),LL.B. (Honours) at University of Singapore (1999-2003),Personal injury claims,2004-Present (17 years),"Successfully won $3.2 million in damages at the High Court for a client in Lim Heng Chin  v Japanese Wholesalers of Sushi and More (Singapore), which involved the defendant’s food causing severe infection of salmonella.","Dominic Stevenson possesses over 15 years of experience in the legal industry. In particular, he has found his specialty in personal injury claims, helping to seek remedy and resolution for any and all clients that come to him. Dominic also volunteers at various Legal Clinics once a month.",https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,75-100 percentile,Tort_2
2,Spencer Deck,Director at The Ordinary Man Partnership (2015-Present),Partner at Reasonable LLP (1999-2014); Associate at Reasonable LLP (1995-1999),LL.B. (Honours) at University of Singapore (1990-1994),Negligence claims,1995-Present (26 years),Successfully defended TNG Auditors in the High Court from a negligence lawsuit in finding that they had taken reasonable care in coming up with the financial statements.,"Spencer Deck is a ""courtroom"" name in the legal industry, because of the more than 25 years of experience he has under his belt. As a litigator he has advocated more than 30 cases to the Supreme Court itself. Spencer specialises in negligence claims. Apart from the wealth of experience under his belt, Spencer is also a loving father to 2 and a grandfather to 3. He spends his leisure time swimming as well. His clients describe him as kind, caring, yet assertive and professional when needed.",https://images.unsplash.com/photo-1584940120743-8981ca35b012?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,50-75 percentile,Tort_2
3,Gale Florence,Partner at Nettles LLP (2009-Present),Associate at Nettles LLP (2005-2009),LL.B. (Honours) at University of Singapore (2000-2004),Medical negligence ,2005-Present (16 years),Successfully sued a doctor for $380k in a medical negligence suit involving the negligent diagnosis of the client with cancer in Lee Ning v John Taylor Yap.,"Gale is a sweetheart to many except her opponents. She believes in justice and helping the vulnerable groups of society. She is a proud member of board of the Singapore Law Pro Bono Services. In her own practice, she specialises in medical negligence cases, and has over 15 years of experience in the law industry.",https://images.unsplash.com/photo-1612782888995-8a739c22f99c?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,0-25 percentile,Tort_2
4,Malcom Sonny,Partner at Poh and Harrison LLP (2010-Present),Associate at Poh and Harrison LLP (2006-2010),LL.B. (Honours) at University of Singapore (2001-2005),Harassment and Defamation claims,2005-Present (16 years),Sucessfully won $13k in damages for a harassment claim at the High Court case of Anne Lim v Guresh Singh involving the incessant calling and texting of threats to the client.,"Malcom Sonny specialises in Harassment and Defamation claims. He has over 15 years of experience in the industry and has brought more than 10 cases to the Supreme Court in this span of time. He also spends time every month to volunteer Pro Bono around Singapore, as a strong believer of access to justice in Singapore.",https://images.unsplash.com/photo-1560250097-0b93528c311a?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,25-50 percentile,Tort_1
5,Justin Mak ,Partner at Lim and Lim (2015-Present),Associate at Ong Partnership (2011-2015),LL.B. (Honours) at University of Singapore (2007-2011),Criminal Law ,2011-Present (10 years),Successfully defended a client accused of drug trafficking in the High Court case of AG v Lim Juan.,"Justin Mak has spent over 10 year in the legal industry, specialising in criminal law. With a career spent learning from and working with the top legal minds in Singapore, Justin is sure to be able to find solutions customised to your needs.",https://images.unsplash.com/photo-1605664041954-fc778c387c02?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MzF8fGxhd3llcnxlbnwwfHwwfHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,0-25 percentile,Criminal
6,Oliver Lim ,Partner at Ong Partnership (2005-Present),Associate at Ong Partnership (1996-2005),LL.B. (Honours) at University of Singapore (1992-1996),Personal injury and Medical Negligence ,1996-Present (25 years),Successfully won over $100k in damages for a medical negligence case in the High Court involving a major public hospital.,"Oliver has spent over 20 years in the legal industry, and has extensive experience in personal injury and medical negligence claims. With his clients' interest his utmost priority, Oliver guides his clients through the legal process in a structured and individualised manner.",https://images.unsplash.com/photo-1605664042212-73d09aa18a96?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,25-50 percentile,Tort_2
7,Elijah Tan ,Partner at Lim and Lim (2011-Present),Associate at Baker Law LLP (2006-2011),LL.B. (Honours) at University of Singapore (2002-2006),Intellectual Property Law ,2006-Present (15 years),"Successfully represented major media companies in a suite of intellectual property claims, routinely handles claims to the Supreme Court. ","Elijah specialises in intellectual property law, and has extensive legal experience over a range of industries. He routinely handles claims to the Supreme Court, and is experienced in arbitration and mediation.",https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?ixid=MnwxMjA3fDB8MHxzZWFyY2h8MzF8fHByb2Zlc3Npb25hbHxlbnwwfDF8MHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=500&q=60,0-25 percentile,Property
8,Noah Henry,Partner at Henry Legal LLC (2018-Present),Associate at Ong Partnership (2011-2018),LL.B. (Honours) at University of Singapore (2007-2011),Corporate and commercial law ,2011-Present (10 years),Led the successful restructuring of Durian Inc. when the company was facing financial troubles.,"Noah Henry possesses over 10 years of experience in the legal industry. In particular, he has found his specialty in corporate and commercial law, helping to seek remedy and resolution for any and all clients that come to him. Noah also volunteers at various Legal Clinics once a month.",https://images.unsplash.com/photo-1508835277982-1c1b0e205603?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,25-50 percentile,Contract
9,Lucas Ong,Partner at Ong Partnerships (2016-Present,Associate at Lim and Lim (2011-2015),LL.B. (First-Class Honours) at University of Singapore (2007-2011),International arbitration,2011-Present (10 years),Represented several multinational corporations in a variety of arbitration cases.,"Lucas possesses over 10 years of experience in the legal industry. In particular, he has found his specialty in international arbitration, helping to seek remedy and resolution for any and all clients that come to him.",https://images.unsplash.com/photo-1584940120743-8981ca35b012?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=634&q=80,0-25 percentile,Contract
10,Alexander Lok ,Partner at Tan Law LLP (2011-Present),Associate at Tan Law LLP (2004-2011),LL.B. (First-Class Honours) at University of Singapore (2000-2004),Property law ,2004-Present (17 years),Successfully argued the case of Wong Mei How v Tan Chew Beng and got damages worth 250k for his client.,"Alexander possesses over 15 years of experience in the legal industry. In particular, he has found his specialty in property law, helping to seek remedy and resolution for any and all clients that come to him. Alexander also volunteers at various Legal Clinics once a month.",https://images.unsplash.com/photo-1524538198441-241ff79d153b?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,25-50 percentile,Property
